device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,64,1,mxfp8,8,6144,4096,0.0600,0.0010,6.7145,21.3926,31.39,421.8399,31.39
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,64,1,mxfp8,8,4096,3072,0.0444,0.0020,4.5377,21.3511,21.25,285.6343,21.25
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,128,1,mxfp8,128,6144,4096,0.0585,0.0011,110.1349,317.5975,34.68,466.0657,34.68
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,128,1,mxfp8,128,4096,4096,0.0547,0.0005,78.5129,314.5728,24.96,335.4431,24.96
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,128,1,mxfp8,16,6144,4096,0.0605,0.0008,13.3153,42.5646,31.28,420.4360,31.28
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,128,1,mxfp8,16,4096,3072,0.0444,0.0019,9.0622,42.4007,21.37,287.2510,21.37
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,256,1,mxfp8,256,6144,4096,0.0590,0.0010,218.5363,500.0000,43.71,497.9669,37.05
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,256,1,mxfp8,256,4096,4096,0.0577,0.0021,148.9240,500.0000,29.78,345.4047,25.70
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,256,1,mxfp8,32,6144,4096,0.0605,0.0012,26.6024,84.2606,31.57,424.3214,31.57
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,256,1,mxfp8,32,4096,3072,0.0443,0.0008,18.1965,83.6206,21.76,292.4656,21.76
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,1024,1,mxfp8,1024,6144,4096,0.1465,0.0006,351.8927,500.0000,70.38,286.3710,21.31
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,1024,1,mxfp8,1024,4096,4096,0.1138,0.0010,302.0371,500.0000,60.41,258.0883,19.20
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,1024,1,mxfp8,128,6144,4096,0.0594,0.0009,108.5319,317.5975,34.17,459.2819,34.17
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,1024,1,mxfp8,128,4096,3072,0.0455,0.0017,70.8148,308.6929,22.94,308.3166,22.94
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,4096,1,mxfp8,4096,6144,4096,0.4686,0.0027,439.9379,500.0000,87.99,196.9123,14.65
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,4096,1,mxfp8,4096,4096,4096,0.3327,0.0009,413.1365,500.0000,82.63,201.7268,15.01
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,4096,1,mxfp8,512,6144,4096,0.0904,0.0009,285.0642,500.0000,57.01,371.1773,27.62
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,4096,1,mxfp8,512,4096,3072,0.0689,0.0005,187.0630,500.0000,37.41,266.4065,19.82
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,4099,1,mxfp8,4099,6144,4096,0.4864,0.0013,424.1978,500.0000,84.84,189.8293,14.12
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,4099,1,mxfp8,4099,4096,4096,0.3390,0.0010,405.6737,500.0000,81.13,198.0466,14.74
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,4099,1,mxfp8,512,6144,4096,0.0898,0.0005,286.9944,500.0000,57.40,373.6907,27.80
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,4099,1,mxfp8,512,4096,3072,0.0691,0.0006,186.4135,500.0000,37.28,265.4815,19.75
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,5000,1,mxfp8,5000,6144,4096,0.5796,0.0017,434.1930,500.0000,86.84,184.7581,13.75
