device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA L20,Basic,QKV,8,1,float8_e4m3fn,8,4096,4096,0.0810,0.0080,3.3157,13.7435,24.13,208.4427,24.13
NVIDIA L20,Basic,QKV,16,1,float8_e4m3fn,16,4096,4096,0.0805,0.0064,6.6722,27.3278,24.42,210.9493,24.42
NVIDIA L20,Basic,QKV,32,1,float8_e4m3fn,32,4096,4096,0.0808,0.0062,13.2810,54.0297,24.58,212.3792,24.58
NVIDIA L20,Basic,QKV,64,1,float8_e4m3fn,64,4096,4096,0.0824,0.0109,26.0566,105.6401,24.67,213.1097,24.67
NVIDIA L20,Basic,QKV,128,1,float8_e4m3fn,128,4096,4096,0.0922,0.0081,46.6034,202.2254,23.05,199.1111,23.05
NVIDIA L20,Basic,QKV,256,1,float8_e4m3fn,256,4096,4096,0.1055,0.0038,81.4428,239.0000,34.08,188.8932,21.86
NVIDIA L20,Basic,QKV,1024,1,float8_e4m3fn,1024,4096,4096,0.2278,0.0062,150.8064,239.0000,63.10,128.8629,14.91
NVIDIA L20,Basic,QKV,4096,1,float8_e4m3fn,4096,4096,4096,0.6902,0.0042,199.1269,239.0000,83.32,97.2299,11.25
NVIDIA L20,Basic,QKV,4099,1,float8_e4m3fn,4099,4096,4096,0.6922,0.0067,198.7061,239.0000,83.14,97.0067,11.23
NVIDIA L20,Basic,QKV,5000,1,float8_e4m3fn,5000,4096,4096,0.8264,0.0045,203.0157,239.0000,84.94,94.6481,10.95
NVIDIA L20,Basic,QKV,8192,1,float8_e4m3fn,8192,4096,4096,1.2805,0.0064,214.6625,239.0000,89.82,91.7137,10.62
