device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA L20,HY-image-3.0,Proj,256,1,bfloat16,256,4096,4096,0.1029,0.0045,83.4947,119.5000,69.87,366.9201,42.47
NVIDIA L20,HY-image-3.0,Moe_gate_up,256,1,bfloat16,32,6144,4096,0.0532,0.0058,30.2474,27.2926,110.83,957.5385,110.83
NVIDIA L20,HY-image-3.0,Moe_down,256,1,bfloat16,32,4096,3072,0.0364,0.0023,22.1530,27.1530,81.59,704.9014,81.59
NVIDIA L20,HY-image-3.0,QKV,1024,1,bfloat16,1024,6144,4096,0.4936,0.0074,104.4225,119.5000,87.38,144.4647,16.72
NVIDIA L20,HY-image-3.0,Proj,1024,1,bfloat16,1024,4096,4096,0.3282,0.0108,104.6991,119.5000,87.61,153.3679,17.75
NVIDIA L20,HY-image-3.0,Moe_gate_up,1024,1,bfloat16,128,6144,4096,0.0778,0.0018,82.7823,105.1171,78.75,680.4211,78.75
NVIDIA L20,HY-image-3.0,Moe_down,1024,1,bfloat16,128,4096,3072,0.0481,0.0018,66.9304,103.0760,64.93,561.0213,64.93
NVIDIA L20,HY-image-3.0,QKV,4096,1,bfloat16,4096,6144,4096,1.8058,0.0028,114.1651,119.5000,95.54,74.3262,8.60
NVIDIA L20,HY-image-3.0,Proj,4096,1,bfloat16,4096,4096,4096,1.2365,0.0083,111.1534,119.5000,93.02,81.4112,9.42
NVIDIA L20,HY-image-3.0,Moe_gate_up,4096,1,bfloat16,512,6144,4096,0.2474,0.0026,104.1793,119.5000,87.18,245.8660,28.46
NVIDIA L20,HY-image-3.0,Moe_down,4096,1,bfloat16,512,4096,3072,0.1357,0.0040,94.9654,119.5000,79.47,239.5774,27.73
NVIDIA L20,HY-image-3.0,QKV,4099,1,bfloat16,4099,6144,4096,1.8196,0.0073,113.3788,119.5000,94.88,73.7940,8.54
NVIDIA L20,HY-image-3.0,Proj,4099,1,bfloat16,4099,4096,4096,1.2600,0.0061,109.1557,119.5000,91.34,79.9285,9.25
NVIDIA L20,HY-image-3.0,Moe_gate_up,4099,1,bfloat16,512,6144,4096,0.2724,0.0045,94.6084,119.5000,79.17,223.2782,25.84
NVIDIA L20,HY-image-3.0,Moe_down,4099,1,bfloat16,512,4096,3072,0.1571,0.0042,81.9984,119.5000,68.62,206.8645,23.94
NVIDIA L20,HY-image-3.0,QKV,5000,1,bfloat16,5000,6144,4096,2.2620,0.0124,111.2540,119.5000,93.10,67.5201,7.81
NVIDIA L20,HY-image-3.0,Proj,5000,1,bfloat16,5000,4096,4096,1.5048,0.0120,111.4937,119.5000,93.30,76.7390,8.88
NVIDIA L20,HY-image-3.0,Moe_gate_up,5000,1,bfloat16,625,6144,4096,0.3308,0.0126,95.1084,119.5000,79.59,190.8731,22.09
NVIDIA L20,HY-image-3.0,Moe_down,5000,1,bfloat16,625,4096,3072,0.1567,0.0088,100.3922,119.5000,84.01,217.8170,25.21
NVIDIA L20,HY-image-3.0,QKV,8192,1,bfloat16,8192,6144,4096,3.6122,0.0087,114.1469,119.5000,95.52,60.3804,6.99
NVIDIA L20,HY-image-3.0,Proj,8192,1,bfloat16,8192,4096,4096,2.4069,0.0057,114.2036,119.5000,95.57,69.7043,8.07
NVIDIA L20,HY-image-3.0,Moe_gate_up,8192,1,bfloat16,1024,6144,4096,0.4792,0.0041,107.5606,119.5000,90.01,148.8062,17.22
NVIDIA L20,HY-image-3.0,Moe_down,8192,1,bfloat16,1024,4096,3072,0.2575,0.0030,100.0940,119.5000,83.76,154.7678,17.91
