device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,flush_l2_cache
NVIDIA H20-3e,seq_write,2.0,bfloat16,0.0189,0.0006,110.7963,4000.0000,2.77,False
NVIDIA H20-3e,seq_write,4.0,bfloat16,0.0191,0.0005,219.5511,4000.0000,5.49,False
NVIDIA H20-3e,seq_write,6.0,bfloat16,0.0193,0.0005,325.2407,4000.0000,8.13,False
NVIDIA H20-3e,seq_write,15.0,bfloat16,0.0202,0.0006,778.9541,4000.0000,19.47,False
NVIDIA H20-3e,seq_write,30.0,bfloat16,0.0247,0.0006,1271.7206,4000.0000,31.79,False
NVIDIA H20-3e,seq_write,45.0,bfloat16,0.0292,0.0004,1616.8421,4000.0000,40.42,False
NVIDIA H20-3e,seq_write,60.0,bfloat16,0.0340,0.0007,1851.2993,4000.0000,46.28,False
NVIDIA H20-3e,seq_write,90.0,bfloat16,0.0436,0.0004,2163.6977,4000.0000,54.09,False
NVIDIA H20-3e,seq_write,120.0,bfloat16,0.0526,0.0006,2390.3709,4000.0000,59.76,False
NVIDIA H20-3e,seq_write,240.0,bfloat16,0.0895,0.0006,2812.7038,4000.0000,70.32,False
NVIDIA H20-3e,seq_write,256.0,bfloat16,0.0944,0.0005,2843.5958,4000.0000,71.09,False
NVIDIA H20-3e,seq_write,512.0,bfloat16,0.1735,0.0013,3093.7149,4000.0000,77.34,False
NVIDIA H20-3e,seq_write,1024.0,bfloat16,0.3356,0.0021,3199.6216,4000.0000,79.99,False
NVIDIA H20-3e,strided_copy,0.25,float32,0.0229,0.0020,22.8667,4000.0000,0.57,False
NVIDIA H20-3e,strided_copy,0.5,float32,0.0230,0.0007,45.5744,4000.0000,1.14,False
NVIDIA H20-3e,strided_copy,1.0,float32,0.0264,0.0019,79.5823,4000.0000,1.99,False
NVIDIA H20-3e,strided_copy,2.0,float32,0.0322,0.0011,130.2255,4000.0000,3.26,False
NVIDIA H20-3e,strided_copy,4.0,float32,0.0474,0.0009,176.9450,4000.0000,4.42,False
NVIDIA H20-3e,strided_copy,6.0,float32,0.0604,0.0011,208.2160,4000.0000,5.21,False
NVIDIA H20-3e,strided_copy,15.0,float32,0.1249,0.0010,251.7710,4000.0000,6.29,False
NVIDIA H20-3e,strided_copy,30.0,float32,0.2310,0.0012,272.3857,4000.0000,6.81,False
NVIDIA H20-3e,strided_copy,45.0,float32,0.3373,0.0014,279.7628,4000.0000,6.99,False
NVIDIA H20-3e,strided_copy,60.0,float32,0.4441,0.0014,283.3274,4000.0000,7.08,False
NVIDIA H20-3e,strided_copy,90.0,float32,0.8141,0.0036,231.8399,4000.0000,5.80,False
NVIDIA H20-3e,strided_copy,120.0,float32,1.9063,0.0221,132.0148,4000.0000,3.30,False
NVIDIA H20-3e,strided_copy,240.0,float32,5.0265,0.0065,100.1327,4000.0000,2.50,False
NVIDIA H20-3e,strided_copy,256.0,float32,5.4269,0.0080,98.9284,4000.0000,2.47,False
NVIDIA H20-3e,strided_copy,512.0,float32,11.2915,0.0284,95.0929,4000.0000,2.38,False
NVIDIA H20-3e,strided_copy,1024.0,float32,22.4076,0.1007,95.8374,4000.0000,2.40,False
NVIDIA H20-3e,strided_copy,0.25,bfloat16,0.0236,0.0025,22.2005,4000.0000,0.56,False
NVIDIA H20-3e,strided_copy,0.5,bfloat16,0.0272,0.0012,38.5279,4000.0000,0.96,False
NVIDIA H20-3e,strided_copy,1.0,bfloat16,0.0332,0.0006,63.2282,4000.0000,1.58,False
NVIDIA H20-3e,strided_copy,2.0,bfloat16,0.0490,0.0007,85.5841,4000.0000,2.14,False
NVIDIA H20-3e,strided_copy,4.0,bfloat16,0.0797,0.0007,105.2576,4000.0000,2.63,False
NVIDIA H20-3e,strided_copy,6.0,bfloat16,0.1101,0.0013,114.2904,4000.0000,2.86,False
NVIDIA H20-3e,strided_copy,15.0,bfloat16,0.2476,0.0012,127.0734,4000.0000,3.18,False
NVIDIA H20-3e,strided_copy,30.0,bfloat16,0.4772,0.0013,131.8367,4000.0000,3.30,False
NVIDIA H20-3e,strided_copy,45.0,bfloat16,0.7868,0.0044,119.9488,4000.0000,3.00,False
NVIDIA H20-3e,strided_copy,60.0,bfloat16,1.7624,0.0147,71.3965,4000.0000,1.78,False
NVIDIA H20-3e,strided_copy,90.0,bfloat16,3.3902,0.0112,55.6740,4000.0000,1.39,False
NVIDIA H20-3e,strided_copy,120.0,bfloat16,4.7573,0.0059,52.8991,4000.0000,1.32,False
NVIDIA H20-3e,strided_copy,240.0,bfloat16,10.0274,0.0199,50.1942,4000.0000,1.25,False
NVIDIA H20-3e,strided_copy,256.0,bfloat16,10.7634,0.0358,49.8792,4000.0000,1.25,False
NVIDIA H20-3e,strided_copy,512.0,bfloat16,21.8401,0.0775,49.1637,4000.0000,1.23,False
NVIDIA H20-3e,strided_copy,1024.0,bfloat16,43.5972,0.1235,49.2573,4000.0000,1.23,False
