device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA L20,HY-image-3.0,QKV,1,1,bfloat16,1,6144,4096,0.1193,0.0138,0.4219,0.8636,48.85,422.0772,48.85
NVIDIA L20,HY-image-3.0,Proj,1,1,bfloat16,1,4096,4096,0.0967,0.0025,0.3469,0.8636,40.17,347.0928,40.17
NVIDIA L20,HY-image-3.0,Moe_gate_up,1,1,bfloat16,1,6144,4096,0.1173,0.0031,0.4292,0.8636,49.70,429.3912,49.70
NVIDIA L20,HY-image-3.0,Moe_down,1,1,bfloat16,1,4096,3072,0.0773,0.0031,0.3254,0.8635,37.69,325.6280,37.69
NVIDIA L20,HY-image-3.0,QKV,2,1,bfloat16,2,6144,4096,0.1095,0.0029,0.9194,1.7266,53.25,460.0742,53.25
NVIDIA L20,HY-image-3.0,Proj,2,1,bfloat16,2,4096,4096,0.0902,0.0034,0.7442,1.7263,43.11,372.4627,43.11
NVIDIA L20,HY-image-3.0,Moe_gate_up,2,1,bfloat16,1,6144,4096,0.1167,0.0053,0.4312,0.8636,49.92,431.3333,49.92
NVIDIA L20,HY-image-3.0,Moe_down,2,1,bfloat16,1,4096,3072,0.0757,0.0030,0.3325,0.8635,38.50,332.6485,38.50
NVIDIA L20,HY-image-3.0,QKV,3,1,bfloat16,3,6144,4096,0.1090,0.0029,1.3854,2.5888,53.51,462.3558,53.51
NVIDIA L20,HY-image-3.0,Proj,3,1,bfloat16,3,4096,4096,0.0875,0.0033,1.1510,2.5882,44.47,384.2342,44.47
NVIDIA L20,HY-image-3.0,Moe_gate_up,3,1,bfloat16,1,6144,4096,0.1167,0.0016,0.4312,0.8636,49.92,431.3333,49.92
NVIDIA L20,HY-image-3.0,Moe_down,3,1,bfloat16,1,4096,3072,0.0768,0.0025,0.3277,0.8635,37.95,327.8667,37.95
NVIDIA L20,HY-image-3.0,QKV,4,1,bfloat16,4,6144,4096,0.1137,0.0046,1.7712,3.4504,51.33,443.5315,51.33
NVIDIA L20,HY-image-3.0,Proj,4,1,bfloat16,4,4096,4096,0.0932,0.0057,1.4394,3.4493,41.73,360.5436,41.73
NVIDIA L20,HY-image-3.0,Moe_gate_up,4,1,bfloat16,1,6144,4096,0.1178,0.0019,0.4274,0.8636,49.49,427.5826,49.49
NVIDIA L20,HY-image-3.0,Moe_down,4,1,bfloat16,1,4096,3072,0.0773,0.0066,0.3255,0.8635,37.70,325.6954,37.70
NVIDIA L20,HY-image-3.0,QKV,8,1,bfloat16,8,6144,4096,0.1091,0.0026,3.6922,6.8896,53.59,463.0235,53.59
NVIDIA L20,HY-image-3.0,Proj,8,1,bfloat16,8,4096,4096,0.0788,0.0022,3.4065,6.8851,49.48,427.4810,49.48
NVIDIA L20,HY-image-3.0,Moe_gate_up,8,1,bfloat16,1,6144,4096,0.1162,0.0035,0.4331,0.8636,50.15,433.2931,50.15
NVIDIA L20,HY-image-3.0,Moe_down,8,1,bfloat16,1,4096,3072,0.0763,0.0027,0.3299,0.8635,38.20,330.0671,38.20
NVIDIA L20,HY-image-3.0,QKV,16,1,bfloat16,16,6144,4096,0.1096,0.0050,7.3498,13.7346,53.51,462.3551,53.51
NVIDIA L20,HY-image-3.0,Proj,16,1,bfloat16,16,4096,4096,0.0814,0.0029,6.5948,13.7168,48.08,415.3962,48.08
NVIDIA L20,HY-image-3.0,Moe_gate_up,16,1,bfloat16,2,6144,4096,0.1095,0.0027,0.9197,1.7266,53.26,460.2087,53.26
NVIDIA L20,HY-image-3.0,Moe_down,16,1,bfloat16,2,4096,3072,0.0747,0.0028,0.6736,1.7260,39.03,337.1854,39.03
NVIDIA L20,HY-image-3.0,QKV,32,1,bfloat16,32,6144,4096,0.1187,0.0052,13.5683,27.2926,49.71,429.5307,49.71
NVIDIA L20,HY-image-3.0,Proj,32,1,bfloat16,32,4096,4096,0.0788,0.0029,13.6179,27.2226,50.02,432.2078,50.02
NVIDIA L20,HY-image-3.0,Moe_gate_up,32,1,bfloat16,4,6144,4096,0.1095,0.0040,1.8380,3.4504,53.27,460.2466,53.27
NVIDIA L20,HY-image-3.0,Moe_down,32,1,bfloat16,4,4096,3072,0.0748,0.0033,1.3466,3.4481,39.05,337.4246,39.05
NVIDIA L20,HY-image-3.0,QKV,64,1,bfloat16,64,6144,4096,0.1194,0.0043,26.9839,53.8925,50.07,432.6026,50.07
NVIDIA L20,HY-image-3.0,Proj,64,1,bfloat16,64,4096,4096,0.0839,0.0062,25.6043,53.6204,47.75,412.5693,47.75
NVIDIA L20,HY-image-3.0,Moe_gate_up,64,1,bfloat16,8,6144,4096,0.1085,0.0051,3.7123,6.8896,53.88,465.5507,53.88
NVIDIA L20,HY-image-3.0,Moe_down,64,1,bfloat16,8,4096,3072,0.0747,0.0014,2.6938,6.8806,39.15,338.2642,39.15
NVIDIA L20,HY-image-3.0,QKV,128,1,bfloat16,128,6144,4096,0.1260,0.0022,51.1500,105.1171,48.66,420.4227,48.66
NVIDIA L20,HY-image-3.0,Proj,128,1,bfloat16,128,4096,4096,0.0891,0.0015,48.2104,104.0866,46.32,400.1839,46.32
NVIDIA L20,HY-image-3.0,Moe_gate_up,128,1,bfloat16,16,6144,4096,0.1096,0.0028,7.3498,13.7346,53.51,462.3551,53.51
NVIDIA L20,HY-image-3.0,Moe_down,128,1,bfloat16,16,4096,3072,0.0789,0.0059,5.1015,13.6991,37.24,321.7515,37.24
NVIDIA L20,HY-image-3.0,QKV,256,1,bfloat16,256,6144,4096,0.1521,0.0025,84.7334,119.5000,70.91,365.4680,42.30
NVIDIA L20,HY-image-3.0,Proj,256,1,bfloat16,256,4096,4096,0.1075,0.0019,79.8915,119.5000,66.85,351.0857,40.63
NVIDIA L20,HY-image-3.0,Moe_gate_up,256,1,bfloat16,32,6144,4096,0.1167,0.0020,13.7971,27.2926,50.55,436.7719,50.55
NVIDIA L20,HY-image-3.0,Moe_down,256,1,bfloat16,32,4096,3072,0.0625,0.0019,12.8890,27.1530,47.47,410.1245,47.47
NVIDIA L20,HY-image-3.0,QKV,1024,1,bfloat16,1024,6144,4096,0.4996,0.0863,103.1584,119.5000,86.33,142.7159,16.52
NVIDIA L20,HY-image-3.0,Proj,1024,1,bfloat16,1024,4096,4096,0.3302,0.0029,104.0448,119.5000,87.07,152.4093,17.64
NVIDIA L20,HY-image-3.0,Moe_gate_up,1024,1,bfloat16,128,6144,4096,0.1265,0.0024,50.9430,105.1171,48.46,418.7206,48.46
NVIDIA L20,HY-image-3.0,Moe_down,1024,1,bfloat16,128,4096,3072,0.0727,0.0021,44.3060,103.0760,42.98,371.3803,42.98
NVIDIA L20,HY-image-3.0,QKV,4096,1,bfloat16,4096,6144,4096,1.8191,0.0069,113.3307,119.5000,94.84,73.7830,8.54
NVIDIA L20,HY-image-3.0,Proj,4096,1,bfloat16,4096,4096,4096,1.2554,0.0108,109.4761,119.5000,91.61,80.1827,9.28
NVIDIA L20,HY-image-3.0,Moe_gate_up,4096,1,bfloat16,512,6144,4096,0.2553,0.0029,100.9219,119.5000,84.45,238.1783,27.57
NVIDIA L20,HY-image-3.0,Moe_down,4096,1,bfloat16,512,4096,3072,0.1464,0.0029,88.0309,119.5000,73.67,222.0831,25.70
NVIDIA L20,HY-image-3.0,QKV,4099,1,bfloat16,4099,6144,4096,1.8355,0.0573,112.3984,119.5000,94.06,73.1559,8.47
NVIDIA L20,HY-image-3.0,Proj,4099,1,bfloat16,4099,4096,4096,1.2503,0.0051,110.0049,119.5000,92.05,80.5504,9.32
