device,operation,data_size_bytes,data_size_human,world_size,dtype,median_time_ms,std_time_ms,bus_bandwidth_gbps,algo_bandwidth_gbps
NVIDIA H20-3e,allgather,8388608,8.0MB,8,bfloat16,0.1236,0.3811,59.3854,67.8690
NVIDIA H20-3e,allgather,16777216,16.0MB,8,bfloat16,0.1439,0.0035,102.0356,116.6121
NVIDIA H20-3e,allgather,33554432,32.0MB,8,bfloat16,0.2173,0.0055,135.1357,154.4408
NVIDIA H20-3e,allgather,67108864,64.0MB,8,bfloat16,0.3096,0.4151,189.6649,216.7599
NVIDIA H20-3e,allgather,134217728,128.0MB,8,bfloat16,0.5225,0.3733,224.7476,256.8544
NVIDIA H20-3e,allgather,268435456,256.0MB,8,bfloat16,0.9464,0.0717,248.1879,283.6433
NVIDIA H20-3e,allgather,536870912,512.0MB,8,bfloat16,1.7657,0.0371,266.0468,304.0535
NVIDIA H20-3e,all2all,4096,4KB,8,bfloat16,0.0944,0.0040,0.0380,0.0434
NVIDIA H20-3e,all2all,8192,8KB,8,bfloat16,0.0925,0.0037,0.0775,0.0886
NVIDIA H20-3e,all2all,16384,16KB,8,bfloat16,0.0926,0.0028,0.1548,0.1769
NVIDIA H20-3e,all2all,32768,32KB,8,bfloat16,0.0931,0.1741,0.3081,0.3521
NVIDIA H20-3e,all2all,65536,64KB,8,bfloat16,0.0922,0.0022,0.6222,0.7111
NVIDIA H20-3e,all2all,131072,128KB,8,bfloat16,0.0948,0.3052,1.2092,1.3819
NVIDIA H20-3e,all2all,262144,256KB,8,bfloat16,0.0980,0.3889,2.3394,2.6736
NVIDIA H20-3e,all2all,524288,512KB,8,bfloat16,0.0968,0.5343,4.7384,5.4153
NVIDIA H20-3e,all2all,1048576,1.0MB,8,bfloat16,0.0955,0.0072,9.6038,10.9757
NVIDIA H20-3e,all2all,2097152,2.0MB,8,bfloat16,0.1138,0.5044,16.1237,18.4271
NVIDIA H20-3e,all2all,4194304,4.0MB,8,bfloat16,0.1075,0.5583,34.1435,39.0211
NVIDIA H20-3e,all2all,8388608,8.0MB,8,bfloat16,0.1101,0.0036,66.6888,76.2157
NVIDIA H20-3e,all2all,16777216,16.0MB,8,bfloat16,0.1402,0.0237,104.7020,119.6595
NVIDIA H20-3e,all2all,33554432,32.0MB,8,bfloat16,0.1948,0.0103,150.6946,172.2224
NVIDIA H20-3e,all2all,67108864,64.0MB,8,bfloat16,0.3080,0.3475,190.6403,217.8746
NVIDIA H20-3e,all2all,134217728,128.0MB,8,bfloat16,0.4861,0.3665,241.5915,276.1045
NVIDIA H20-3e,all2all,268435456,256.0MB,8,bfloat16,0.8748,0.0576,268.5017,306.8591
NVIDIA H20-3e,all2all,536870912,512.0MB,8,bfloat16,1.6610,0.0551,282.8147,323.2168
