device,operation,data_size_bytes,data_size_human,world_size,dtype,median_time_ms,std_time_ms,bus_bandwidth_gbps,algo_bandwidth_gbps
NVIDIA H20-3e,allreduce,4096,4KB,8,bfloat16,0.0753,0.0056,0.0952,0.0544
NVIDIA H20-3e,allreduce,8192,8KB,8,bfloat16,0.0751,0.0743,0.1909,0.1091
NVIDIA H20-3e,allreduce,16384,16KB,8,bfloat16,0.0746,0.1319,0.3845,0.2197
NVIDIA H20-3e,allreduce,32768,32KB,8,bfloat16,0.0391,0.0018,1.4683,0.8390
NVIDIA H20-3e,allreduce,65536,64KB,8,bfloat16,0.0405,0.0189,2.8332,1.6190
NVIDIA H20-3e,allreduce,131072,128KB,8,bfloat16,0.0432,0.0040,5.3096,3.0341
NVIDIA H20-3e,allreduce,262144,256KB,8,bfloat16,0.0542,0.0040,8.4653,4.8373
NVIDIA H20-3e,allreduce,524288,512KB,8,bfloat16,0.0547,0.0217,16.7869,9.5925
NVIDIA H20-3e,allreduce,1048576,1.0MB,8,bfloat16,0.0746,0.4275,24.5901,14.0515
NVIDIA H20-3e,allreduce,2097152,2.0MB,8,bfloat16,0.0651,0.0028,56.3993,32.2282
NVIDIA H20-3e,allreduce,4194304,4.0MB,8,bfloat16,0.0772,0.1247,95.0978,54.3416
NVIDIA H20-3e,allreduce,8388608,8.0MB,8,bfloat16,0.1019,0.0075,144.0804,82.3317
NVIDIA H20-3e,allreduce,16777216,16.0MB,8,bfloat16,0.1434,0.0163,204.7771,117.0155
NVIDIA H20-3e,allreduce,33554432,32.0MB,8,bfloat16,0.2187,0.0027,268.4526,153.4015
NVIDIA H20-3e,allreduce,67108864,64.0MB,8,bfloat16,0.3508,0.3830,334.7791,191.3023
NVIDIA H20-3e,allreduce,134217728,128.0MB,8,bfloat16,0.6020,0.2960,390.1886,222.9649
NVIDIA H20-3e,allreduce,268435456,256.0MB,8,bfloat16,1.0980,0.1068,427.8156,244.4661
NVIDIA H20-3e,allreduce,536870912,512.0MB,8,bfloat16,2.0656,0.0437,454.8397,259.9084
NVIDIA H20-3e,allgather,4096,4KB,8,bfloat16,0.1190,0.0826,0.0301,0.0344
NVIDIA H20-3e,allgather,8192,8KB,8,bfloat16,0.1177,0.0020,0.0609,0.0696
NVIDIA H20-3e,allgather,16384,16KB,8,bfloat16,0.1182,0.1718,0.1213,0.1386
NVIDIA H20-3e,allgather,32768,32KB,8,bfloat16,0.1185,0.2145,0.2420,0.2766
NVIDIA H20-3e,allgather,65536,64KB,8,bfloat16,0.1216,0.0441,0.4715,0.5389
NVIDIA H20-3e,allgather,131072,128KB,8,bfloat16,0.1220,0.3364,0.9402,1.0745
NVIDIA H20-3e,allgather,262144,256KB,8,bfloat16,0.1193,0.0094,1.9233,2.1980
NVIDIA H20-3e,allgather,524288,512KB,8,bfloat16,0.1209,0.0085,3.7946,4.3367
NVIDIA H20-3e,allgather,1048576,1.0MB,8,bfloat16,0.1219,0.4374,7.5284,8.6039
NVIDIA H20-3e,allgather,2097152,2.0MB,8,bfloat16,0.1222,0.0033,15.0174,17.1628
NVIDIA H20-3e,allgather,4194304,4.0MB,8,bfloat16,0.1226,0.6042,29.9329,34.2091
