device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,2,1,fp16,2,4096,4096,0.0518,0.0009,1.2949,2.6854,48.22,648.1013,48.22
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,3,1,fp16,3,4096,4096,0.0521,0.0006,1.9323,4.0261,47.99,645.0319,47.99
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,4,1,fp16,4,4096,4096,0.0520,0.0006,2.5811,5.3655,48.11,646.5378,48.11
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,8,1,fp16,8,4096,4096,0.0536,0.0009,5.0036,10.7102,46.72,627.8986,46.72
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,16,1,fp16,16,4096,4096,0.0420,0.0018,12.7875,21.3373,59.93,805.4634,59.93
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,32,1,fp16,32,4096,4096,0.0438,0.0009,24.5281,42.3463,57.92,778.4795,57.92
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,64,1,fp16,64,4096,4096,0.0620,0.0020,34.6190,83.4095,41.50,557.8251,41.50
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,128,1,fp16,128,4096,4096,0.0465,0.0009,92.4365,161.9125,57.09,767.2948,57.09
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,256,1,fp16,256,4096,4096,0.0617,0.0009,139.1218,250.0000,55.65,611.3750,45.49
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,1024,1,fp16,1024,4096,4096,0.1841,0.0011,186.6403,250.0000,74.66,273.3989,20.34
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,4096,1,fp16,4096,4096,4096,0.6438,0.0009,213.4941,250.0000,85.40,156.3677,11.63
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,4099,1,fp16,4099,4096,4096,0.6455,0.0008,213.0679,250.0000,85.23,156.0175,11.61
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,5000,1,fp16,5000,4096,4096,0.7780,0.0011,215.6499,250.0000,86.26,148.4278,11.04
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,8192,1,fp16,8192,4096,4096,1.2765,0.0047,215.3379,250.0000,86.14,131.4318,9.78
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,32,1,int8,32,4096,4096,0.1347,0.0011,7.9740,82.7823,9.63,129.4601,9.63
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,64,1,int8,64,4096,4096,0.1348,0.0013,15.9366,159.5659,9.99,134.2313,9.99
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,128,1,int8,128,4096,4096,0.1355,0.0010,31.6925,297.5689,10.65,143.1424,10.65
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,256,1,int8,256,4096,4096,0.1348,0.0009,63.7463,500.0000,12.75,163.4120,12.16
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,1024,1,int8,1024,4096,4096,0.3214,0.0009,106.8985,500.0000,21.38,117.4422,8.74
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,4096,1,int8,4096,4096,4096,1.0226,0.0020,134.3962,500.0000,26.88,98.4347,7.32
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,4099,1,int8,4099,4096,4096,1.0236,0.0021,134.3727,500.0000,26.87,98.4055,7.32
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,5000,1,int8,5000,4096,4096,1.2228,0.0024,137.2069,500.0000,27.44,97.4651,7.25
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,8192,1,int8,8192,4096,4096,1.9292,0.0020,142.4793,500.0000,28.50,95.6587,7.12
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,1,1,fp8_tensorwise,1,4096,4096,0.0365,0.0018,0.9186,2.6860,34.20,459.6338,34.20
NVIDIA RTX PRO 5000 72GB Blackwell,Basic,Mx4096x4096,2,1,fp8_tensorwise,2,4096,4096,0.0357,0.0010,1.8809,5.3681,35.04,470.9022,35.04
