device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,flush_l2_cache
NVIDIA L20,seq_write,48.0,bfloat16,0.0783,0.0021,642.7724,864.0000,74.39,True
NVIDIA L20,seq_write,72.0,bfloat16,0.1132,0.0034,666.7503,864.0000,77.17,True
NVIDIA L20,seq_write,96.0,bfloat16,0.1495,0.0025,673.3150,864.0000,77.93,True
NVIDIA L20,seq_write,144.0,bfloat16,0.2192,0.0048,688.7953,864.0000,79.72,True
NVIDIA L20,seq_write,192.0,bfloat16,0.2923,0.0033,688.8330,864.0000,79.73,True
NVIDIA L20,seq_write,256.0,bfloat16,0.3849,0.0045,697.3364,864.0000,80.71,True
NVIDIA L20,seq_write,384.0,bfloat16,0.5734,0.0050,702.2498,864.0000,81.28,True
NVIDIA L20,seq_write,512.0,bfloat16,0.7619,0.0030,704.6882,864.0000,81.56,True
NVIDIA L20,seq_write,1024.0,bfloat16,1.5135,0.0029,709.4560,864.0000,82.11,True
NVIDIA L20,strided_copy,0.25,float32,0.0236,0.0032,22.2609,864.0000,2.58,True
NVIDIA L20,strided_copy,0.5,float32,0.0230,0.0038,45.6379,864.0000,5.28,True
NVIDIA L20,strided_copy,1.0,float32,0.0297,0.0020,70.6969,864.0000,8.18,True
NVIDIA L20,strided_copy,2.0,float32,0.0399,0.0017,105.0256,864.0000,12.16,True
NVIDIA L20,strided_copy,4.0,float32,0.0614,0.0034,136.5333,864.0000,15.80,True
NVIDIA L20,strided_copy,9.6,float32,0.1464,0.0039,137.4731,864.0000,15.91,True
NVIDIA L20,strided_copy,24.0,float32,0.2396,0.0023,210.0513,864.0000,24.31,True
NVIDIA L20,strided_copy,48.0,float32,0.4444,0.0027,226.5069,864.0000,26.22,True
NVIDIA L20,strided_copy,72.0,float32,0.6529,0.0047,231.2752,864.0000,26.77,True
NVIDIA L20,strided_copy,96.0,float32,0.8765,0.0052,229.6864,864.0000,26.58,True
NVIDIA L20,strided_copy,144.0,float32,1.5596,0.0091,193.6389,864.0000,22.41,True
NVIDIA L20,strided_copy,192.0,float32,14.0897,0.1642,28.5778,864.0000,3.31,True
NVIDIA L20,strided_copy,256.0,float32,31.8679,0.1946,16.8468,864.0000,1.95,True
