device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,MBU,flush_l2_cache
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,96.0,float32,0.0805,0.0009,1250.2893,1344.0000,93.03,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,144.0,float32,0.1209,0.0010,1248.6351,1344.0000,92.90,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,192.0,float32,0.1613,0.0011,1248.1809,1344.0000,92.87,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,256.0,float32,0.2157,0.0009,1244.3237,1344.0000,92.58,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,384.0,float32,0.3261,0.0009,1234.5871,1344.0000,91.86,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,512.0,float32,0.4346,0.0010,1235.2992,1344.0000,91.91,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,1024.0,float32,0.8708,0.0018,1233.0069,1344.0000,91.74,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,0.25,bfloat16,0.0081,0.0015,32.3794,1344.0000,2.41,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,0.5,bfloat16,0.0082,0.0002,63.6272,1344.0000,4.73,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,1.0,bfloat16,0.0085,0.0001,123.8866,1344.0000,9.22,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,2.0,bfloat16,0.0085,0.0001,245.4532,1344.0000,18.26,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,4.0,bfloat16,0.0083,0.0003,505.0944,1344.0000,37.58,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,9.6,bfloat16,0.0095,0.0004,1059.1675,1344.0000,78.81,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,24.0,bfloat16,0.0139,0.0009,1807.8896,1344.0000,134.52,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,48.0,bfloat16,0.0396,0.0010,1272.5437,1344.0000,94.68,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,72.0,bfloat16,0.0596,0.0006,1267.4166,1344.0000,94.30,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,96.0,bfloat16,0.0793,0.0009,1269.9750,1344.0000,94.49,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,144.0,bfloat16,0.1215,0.0012,1243.0432,1344.0000,92.49,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,192.0,bfloat16,0.1624,0.0014,1240.0623,1344.0000,92.27,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,256.0,bfloat16,0.2171,0.0011,1236.4372,1344.0000,92.00,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,384.0,bfloat16,0.3262,0.0012,1234.4660,1344.0000,91.85,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,512.0,bfloat16,0.4350,0.0014,1234.2995,1344.0000,91.84,True
NVIDIA RTX PRO 5000 72GB Blackwell,seq_write,1024.0,bfloat16,0.8730,0.0014,1229.9787,1344.0000,91.52,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,0.25,float32,0.0231,0.0024,22.7240,1344.0000,1.69,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,0.5,float32,0.0262,0.0009,40.0098,1344.0000,2.98,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,1.0,float32,0.0288,0.0008,72.8583,1344.0000,5.42,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,2.0,float32,0.0329,0.0006,127.5019,1344.0000,9.49,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,4.0,float32,0.0477,0.0009,175.6997,1344.0000,13.07,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,9.6,float32,0.1124,0.0043,179.1672,1344.0000,13.33,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,24.0,float32,0.2424,0.0015,207.6662,1344.0000,15.45,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,48.0,float32,0.6048,0.0025,166.4318,1344.0000,12.38,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,72.0,float32,0.8956,0.0022,168.6024,1344.0000,12.54,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,96.0,float32,1.1825,0.0018,170.2487,1344.0000,12.67,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,144.0,float32,1.8041,0.0039,167.3883,1344.0000,12.45,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,192.0,float32,3.0146,0.0688,133.5695,1344.0000,9.94,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,256.0,float32,6.7175,0.3566,79.9214,1344.0000,5.95,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,384.0,float32,25.1431,0.1314,32.0289,1344.0000,2.38,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,512.0,float32,41.9251,0.1152,25.6109,1344.0000,1.91,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,1024.0,float32,92.2845,0.6423,23.2702,1344.0000,1.73,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,0.25,bfloat16,0.0273,0.0008,19.2188,1344.0000,1.43,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,0.5,bfloat16,0.0309,0.0019,33.9565,1344.0000,2.53,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,1.0,bfloat16,0.0387,0.0009,54.1844,1344.0000,4.03,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,2.0,bfloat16,0.0597,0.0012,70.2046,1344.0000,5.22,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,4.0,bfloat16,0.1047,0.0031,80.1419,1344.0000,5.96,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,9.6,bfloat16,0.2451,0.0016,82.1446,1344.0000,6.11,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,24.0,bfloat16,0.6470,0.0016,77.7875,1344.0000,5.79,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,48.0,bfloat16,1.3139,0.0020,76.6139,1344.0000,5.70,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,72.0,bfloat16,1.9913,0.0022,75.8256,1344.0000,5.64,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,96.0,bfloat16,2.6862,0.0311,74.9487,1344.0000,5.58,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,144.0,bfloat16,6.7440,0.2108,44.7793,1344.0000,3.33,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,192.0,bfloat16,23.6904,0.1153,16.9965,1344.0000,1.26,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,256.0,bfloat16,41.1118,0.1650,13.0588,1344.0000,0.97,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,384.0,bfloat16,62.0174,0.2292,12.9852,1344.0000,0.97,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,512.0,bfloat16,83.4132,0.2613,12.8726,1344.0000,0.96,True
NVIDIA RTX PRO 5000 72GB Blackwell,strided_copy,1024.0,bfloat16,166.9063,0.6165,12.8664,1344.0000,0.96,True
