device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,in_l2_cache
NVIDIA H20-3e,seq_write,2.0,bfloat16,0.0206,0.0028,101.6850,4000.0000,2.54,True
NVIDIA H20-3e,seq_write,4.0,bfloat16,0.0208,0.0022,201.3395,4000.0000,5.03,True
NVIDIA H20-3e,seq_write,6.0,bfloat16,0.0209,0.0015,301.3149,4000.0000,7.53,True
NVIDIA H20-3e,seq_write,15.0,bfloat16,0.0225,0.0021,699.6726,4000.0000,17.49,True
NVIDIA H20-3e,seq_write,30.0,bfloat16,0.0253,0.0007,1244.3544,4000.0000,31.11,True
NVIDIA H20-3e,seq_write,45.0,bfloat16,0.0283,0.0010,1668.9983,4000.0000,41.72,True
NVIDIA H20-3e,seq_write,60.0,bfloat16,0.0320,0.0010,1964.1159,4000.0000,49.10,True
NVIDIA H20-3e,seq_write,90.0,bfloat16,0.0401,0.0023,2355.5272,4000.0000,58.89,False
NVIDIA H20-3e,seq_write,120.0,bfloat16,0.0471,0.0020,2672.2120,4000.0000,66.81,False
NVIDIA H20-3e,seq_write,240.0,bfloat16,0.0747,0.0021,3367.2961,4000.0000,84.18,False
NVIDIA H20-3e,seq_write,256.0,bfloat16,0.0787,0.0020,3409.3103,4000.0000,85.23,False
NVIDIA H20-3e,seq_write,512.0,bfloat16,0.1371,0.0022,3915.7933,4000.0000,97.89,False
NVIDIA H20-3e,seq_write,1024.0,bfloat16,0.2556,0.0020,4201.6570,4000.0000,105.04,False
NVIDIA H20-3e,strided_copy,0.25,float32,0.0235,0.0022,22.3063,4000.0000,0.56,True
NVIDIA H20-3e,strided_copy,0.5,float32,0.0249,0.0018,42.0372,4000.0000,1.05,True
NVIDIA H20-3e,strided_copy,1.0,float32,0.0288,0.0017,72.9393,4000.0000,1.82,True
NVIDIA H20-3e,strided_copy,2.0,float32,0.0340,0.0012,123.4200,4000.0000,3.09,True
NVIDIA H20-3e,strided_copy,4.0,float32,0.0496,0.0012,169.1252,4000.0000,4.23,True
NVIDIA H20-3e,strided_copy,6.0,float32,0.0625,0.0012,201.3910,4000.0000,5.03,True
NVIDIA H20-3e,strided_copy,15.0,float32,0.1210,0.0028,259.9260,4000.0000,6.50,True
NVIDIA H20-3e,strided_copy,30.0,float32,0.2038,0.0019,308.7680,4000.0000,7.72,True
NVIDIA H20-3e,strided_copy,45.0,float32,0.2890,0.0020,326.5371,4000.0000,8.16,True
NVIDIA H20-3e,strided_copy,60.0,float32,0.3789,0.0024,332.0801,4000.0000,8.30,True
NVIDIA H20-3e,strided_copy,90.0,float32,0.7800,0.0122,241.9692,4000.0000,6.05,False
NVIDIA H20-3e,strided_copy,120.0,float32,1.5343,0.0377,164.0245,4000.0000,4.10,False
NVIDIA H20-3e,strided_copy,240.0,float32,4.8100,0.0149,104.6396,4000.0000,2.62,False
NVIDIA H20-3e,strided_copy,256.0,float32,5.2015,0.0148,103.2155,4000.0000,2.58,False
NVIDIA H20-3e,strided_copy,512.0,float32,11.2471,0.0099,95.4683,4000.0000,2.39,False
NVIDIA H20-3e,strided_copy,1024.0,float32,22.5555,0.1067,95.2087,4000.0000,2.38,False
NVIDIA H20-3e,strided_copy,0.25,bfloat16,0.0247,0.0024,21.1953,4000.0000,0.53,True
NVIDIA H20-3e,strided_copy,0.5,bfloat16,0.0286,0.0010,36.6738,4000.0000,0.92,True
